"統一編號","公司名稱","負責人","公司地址","資本總額","實收資本額","在境內營運資金","公司狀態","產製日期"
"00000912","麗赫生物工程股份有限公司","柯O安","高雄市三民區大連街345巷24號2樓","1000000","1000000"," ","核准設立","20250901035733"
"00007534","世成實業有限公司","陳O真","嘉義市東區文雅里文雅街293號11樓之2","1000000"," "," ","核准設立","20250901035733"
"00010221","袀富國際有限公司","薛O秀","桃園市桃園區大林里榮華街３３巷１弄９號","200000"," "," ","核准設立","20250901035733"
"00012467","偉勇實業有限公司","王O琴","臺中市烏日區溪埧里溪南路一段18巷55號1樓","100000"," "," ","核准設立","20250901035733"
"00018482","凱新國際實業有限公司","林O呈","桃園市楊梅區仁美里福德街87巷8弄9號","5000000"," "," ","核准設立","20250901035733"
"00019454","廣曄塑膠帆布有限公司","張O囷","彰化縣鹿港鎮海埔里鹿工南五路43號","1000000"," "," ","核准設立","20250901035733"
"00025033","復塑科技股份有限公司","吳O聖","臺北市中山區南京東路2段66號7樓之1","12000000","7200000"," ","核准設立","20250901035733"
"00029137","瑞勝綠能科技有限公司","蔡O霖","臺南市山上區新莊里新庄59之1號","3000000"," "," ","核准設立","20250901035733"
"00033054","利泰創新科技股份有限公司","吳O文","桃園市中壢區自治里強國路53巷6弄2號(1樓)","5500000","5500000"," ","核准設立","20250901035733"
"00038939","方呈實業有限公司","蔣O靜","桃園市大溪區仁善里仁善街202號8樓之1","1010000"," "," ","核准設立","20250901035733"
"00040055","優益得實業有限公司","許O瑜","臺中市大雅區二和里田心三街89之5號","1000000"," "," ","核准設立","20250901035733"
"00048394","格尚國際實業有限公司","楊O嘉","臺中市南區福順里復興路二段106號13樓之3","2000000"," "," ","核准設立","20250901035733"
"00051215","良璟開發實業有限公司","沈O良","雲林縣斗南鎮大同里建國二路6號","5000000"," "," ","核准設立","20250901035733"
"00056464","其立家有限公司","王O民","苗栗縣頭份市濫坑里尖豐路783巷17弄9號","20000000"," "," ","核准設立","20250901035733"
"00057941","元揚實業有限公司","林O真","臺北市中正區和平西路2段148號5樓之1","1000000"," "," ","核准設立","20250901035733"
"00059960","翊成傢俱企業有限公司","黃O君","彰化縣和美鎮湖內里保北路155號","700000"," "," ","核准設立","20250901035733"
"00068692","喜韻有限公司","唐O瑄","臺中市潭子區東寶里大豐路二段122巷4號1樓","500000"," "," ","核准設立","20250901035733"
"00068877","奇妍企業有限公司","張O泰","南投縣竹山鎮桂林里中正新村36號","1000000"," "," ","核准設立","20250901035733"
"00072020","鉑祥科技有限公司","李O原","新北市樹林區三俊街48巷1之1號4樓","1000000"," "," ","核准設立","20250901035733"
"00075188","福助國際企業有限公司","黃O智","桃園市龜山區舊路里東舊路街118巷36弄6號","10000000"," "," ","核准設立","20250901035733"
"00075758","昕祥科技有限公司","洪O惠","高雄市左營區立大路442巷6號7樓","300000"," "," ","核准設立","20250901035733"
"00076341","鑫匯精密科技有限公司","許O亮","高雄市鳳山區鎮北北巷20之29號","2000000"," "," ","核准設立","20250901035733"
"00077073","興㠙工程有限公司","鄭O廷","臺南市安南區城北里尊安街31號1樓","5000000"," "," ","核准設立","20250901035733"
"00079570","青騏國際有限公司","陳O孜","高雄市苓雅區四維四路199號12樓","2000000"," "," ","核准設立","20250901035733"
"00085881","高登塑膠有限公司","黃O瑄","新北市淡水區新市二路3段116號5樓","6000000"," "," ","核准設立","20250901035733"
"00091048","集賀工程有限公司","王O澤","高雄市三民區嫩江街164巷16號","1000000"," "," ","核准設立","20250901035733"
"00093806","鈞鋒企業股份有限公司","劉O鋒","臺南市南區新愛路38之1號","6000000","6000000"," ","核准設立","20250901035733"
"00095699","鑫園企業有限公司","林O洋","臺北市萬華區西園路2段362號2樓","5000000"," "," ","核准設立","20250901035733"
"00097253","喜派希設計有限公司","黃O仁","臺中市南屯區惠中里文心路一段324號11樓之1","500000"," "," ","核准設立","20250901035733"
"00100659","馨趣生活科技有限公司","許O庭","臺南市北區開元里北園街99巷17號1樓","500000"," "," ","核准設立","20250901035733"
"00107914","喜倍客企業有限公司","陳O迪","臺中市北區文莊里中清路一段89號4樓之3","1000000"," "," ","核准設立","20250901035733"
"00110489","永豐銘工業股份有限公司","石O淇","彰化縣溪州鄉舊眉村中山路四段237號","30000000","30000000"," ","核准設立","20250901035733"
"00118594","立祺工業有限公司","程O珊","彰化縣芳苑鄉後寮村工區六路6號","500000"," "," ","核准設立","20250901035733"
"00124110","覞城開發有限公司","顧O弘","彰化縣彰化市磚磘里10鄰水尾一路301巷117號1樓","100000"," "," ","核准設立","20250901035733"
"00125096","金大聯合建材股份有限公司","林O坤","臺北市大安區信義路4段1號2樓","900000","900000"," ","核准設立","20250901035733"
"00125146","晨升企業有限公司","柯O吟","彰化縣秀水鄉義興村義興街129號一樓","300000"," "," ","核准設立","20250901035733"
"00126089","聯合瑞通股份有限公司","翁O瑩","雲林縣斗六市榴中里民有街29號1樓","5000000","5000000"," ","核准設立","20250901035733"
"00128951","真福營有限公司","張O芳","臺中市清水區頂湳里中山路568之2號","200000"," "," ","核准設立","20250901035733"
"00130339","永旭國際實業股份有限公司","蕭O如","臺中市清水區槺榔里港新五路217號4樓之1","500000","500000"," ","核准設立","20250901035733"
"00131978","崧良貿易有限公司","張O榮","臺中市烏日區五光路657號","200000"," "," ","核准設立","20250901035733"
"00138830","卉森實業有限公司","李O惠","新北市深坑區北深路3段155巷17號3樓","300000"," "," ","核准設立","20250901035733"
"00141173","木木然有限公司","高O昆","臺中市龍井區遊園北路391巷11號","100000"," "," ","核准設立","20250901035733"
"00141666","隆承資源永續有限公司","周O誼","臺中市南屯區文心路一段306號10樓之5","5000000"," "," ","核准設立","20250901035733"
"00142341","天帝事業有限公司","黃O偉","臺北市大安區仁愛路3段26號5樓","1000000"," "," ","核准設立","20250901035733"
"00142659","承楷股份有限公司","林O祥","臺中市龍井區忠和里工業路188巷30號","1500000","1500000"," ","核准設立","20250901035733"
"00146418","承文實業有限公司","鄧O權","臺北市萬華區西園路2段362號2樓","1000000"," "," ","核准設立","20250901035733"
"00151474","聚合廢棄物清除有限公司","鄭O孝","彰化縣彰化市金馬路三段439號7樓之2","5000000"," "," ","核准設立","20250901035733"
"00154155","廣達實業有限公司","林O材","臺中市龍井區忠和里工業路238巷18號","2000000"," "," ","核准設立","20250901035733"
"00156288","慶樺國際有限公司","葉O微","臺中市龍井區東海里藝術街198號1樓","1000000"," "," ","核准設立","20250901035733"
"00158928","永豐銘工業股份有限公司","石O淇","彰化縣溪州鄉舊眉村中山路四段237號","30000000","30000000"," ","核准設立","20250901035733"
"00162394","爽爽爽股份有限公司","楊O綱","臺北市大安區敦化南路2段65號19樓","1000000","1000000"," ","核准設立","20250901035733"
"00168411","茂勝資源循環股份有限公司","雷O宗","桃園市觀音區草漯里成功路一段509號","30000000","30000000"," ","核准設立","20250901035733"
"00168778","金際塑料科技有限公司","宋O瑩","桃園市龍潭區黃唐里武中路299之1號","1000000"," "," ","核准設立","20250901035733"
"00177690","拓邦綠能顧問有限公司","林O怡","臺北市中正區南陽街1號5樓","50000"," "," ","核准設立","20250901035733"
"00179472","人大智科應材室內裝修有限公司","徐O鈁","桃園市桃園區明德里同德十一街150巷5號(2樓)","1100000"," "," ","核准設立","20250901035733"
"00190188","鎰鏋環保有限公司","黃O婷","高雄市鳳山區凱旋路120號1樓","5000000"," "," ","核准設立","20250901035733"
"00192405","京丈有限公司","王O慈","高雄市鼓山區鼓山二路119之2號","600000"," "," ","核准設立","20250901035733"
"00192799","政裕興業有限公司","吳O銘","彰化縣福興鄉福工路15-1號","1000000"," "," ","核准設立","20250901035733"
"00204161","尚德塑膠工業有限公司","陳O德","新北市泰山區貴陽街16巷5弄7號","3000000"," "," ","核准設立","20250901035733"
"00207343","香合全球國際貿易有限公司","許O庭","新北市三峽區中正路1段292巷18號(1樓)","1000000"," "," ","核准設立","20250901035733"
"00214013","清茂禮儀有限公司","劉O嘉","高雄市鳳山區鳳北路108巷45號6樓","300000"," "," ","核准設立","20250901035733"
"00217362","翔耐爾有限公司","曾O徽","雲林縣口湖鄉港東村民主路16之6號二樓","600000"," "," ","核准設立","20250901035733"
"00218587","德威綠能科技有限公司","陳O茜","屏東縣屏東市海豐里盛豐路470巷22號1樓","10000000"," "," ","核准設立","20250901035733"
"00218735","福爾摩沙創投製造廠股份有限公司","何O卿","雲林縣斗六市三平里1鄰洛陽路9巷1號13樓之1","4010000","4010000"," ","核准設立","20250901035733"
"00225285","融順益有限公司","徐O宇","桃園市龍潭區八德里梅龍路515巷81之10號(1樓)","500000"," "," ","核准設立","20250901035733"
"00225525","浩天企業有限公司","陳O金","苗栗縣三義鄉西湖村伯公坑40-15號","300000"," "," ","核准設立","20250901035733"
"00230098","台灣宮田股份有限公司","吳O凌","臺北市中正區忠孝西路1段7號5樓之4","5000000","5000000"," ","核准設立","20250901035733"
"00233031","兆壬企業有限公司","黃O儒","新北市土城區明德路2段215巷1號2樓","500000"," "," ","核准設立","20250901035733"
"00234550","四方數位科技股份有限公司","","彰化縣永靖鄉永北村開明路238號1樓","4000000","4000000"," ","解散","20250901035733"
"00236712","程玉有限公司","許O綺","新北市五股區新五路2段369號11樓","300000"," "," ","核准設立","20250901035733"
"00239181","覺富企業有限公司","蔡O慧","彰化縣大村鄉村上村中山路二段69、71號","1500000"," "," ","核准設立","20250901035733"
"00248251","承鴻資源回收有限公司","張O瑜","高雄市湖內區東方路365巷20弄8之1號","2000000"," "," ","核准設立","20250901035733"
"00250925","連全複合材料有限公司","黃O嫻","臺中市清水區中央路12之4號1樓","5000000"," "," ","核准設立","20250901035733"
"00252487","德恆國際有限公司","莊O雪","臺北市信義區信義路4段415號9樓之3","1000000"," "," ","核准設立","20250901035733"
"00253704","紘能科技實業有限公司","梁O仁","臺南市東區關聖里裕平一街177號2樓","1000000"," "," ","核准設立","20250901035733"
"01180352","凱瑞化學有限公司","黃O惠","新北市中和區中正路716號10樓之5","10000000"," "," ","核准設立","20250901035733"
"01632314","奎昱工業有限公司","","臺中市外埔區大東里大馬路346號","15000000"," "," ","廢止","20250901035733"
"02075884","吉使達企業有限公司","施O賀","臺北市大同區長安西路342號3樓之1","20000000"," "," ","核准設立","20250901035733"
"02083462","海外玻璃纖維製品有限公司","鄭O瑋","臺中市大肚區福山里王福街988巷88弄8號","3000000"," "," ","核准設立","20250901035733"
"02087761","展悅工業股份有限公司","王O成","桃園市八德區瑞源街36號","5000000","5000000"," ","核准設立","20250901035733"
"02421061","鉅享空調有限公司","張O玉","宜蘭縣宜蘭市文化里宜中路228號6樓之3","20000000"," "," ","核准設立","20250901035733"
"02637175","桃立塑膠企業股份有限公司","莊O洋","桃園市龜山區南上里民生北路1段2巷2弄10號","4000000","4000000"," ","核准設立","20250901035733"
"02659085","高翌塑膠實業有限公司","","桃園市中壢區文化路128號","1000000"," "," ","解散","20250901035733"
"02848565","聯瑩工藝企業有限公司","張O珠","新竹縣竹北市環北路三段225號2、3樓","83500000"," "," ","核准設立","20250901035733"
"03244705","萬洲化學股份有限公司","李O政","臺北市內湖區行善路397號6樓","5000000000","3999048480"," ","核准設立","20250901035733"
"03278704","美工實業股份有限公司","鍾O欽","新北市新店區寶興路42巷15號","88000000","88000000"," ","核准設立","20250901035733"
"03283306","厚生股份有限公司","徐O材","臺北市中正區漢口街一段82號8樓","6800000000","3035934000"," ","核准設立","20250901035733"
"03607500","聲寶股份有限公司","財O法人陳茂榜工商發展基金會","桃園市龜山區大華里頂湖26-3號","15000000000","3842000000"," ","核准設立","20250901035733"
