"統一編號","公司名稱","負責人","公司地址","資本總額","實收資本額","在境內營運資金","公司狀態","產製日期"
"00003538","秝驎國際股份有限公司","建O股份有限公司","臺中市大雅區雅潭路四段371號","30000000","30000000"," ","核准設立","20250901035816"
"00003615","五吉夫人有限公司","邱O九","桃園市平鎮區新貴里中豐路588巷4號","700000"," "," ","核准設立","20250901035816"
"00005260","元洛有限公司","張O文","臺北市松山區復興南路1段59號","300000"," "," ","核准設立","20250901035816"
"00005389","八八綠豆選物有限公司","何O蘭","臺中市太平區新坪里育德路8之5號1樓","500000"," "," ","核准設立","20250901035816"
"00006710","星擎科技有限公司","張O中","臺中市南屯區豐樂里豐富路199號4樓之6","1000000"," "," ","核准設立","20250901035816"
"00006839","古締企業有限公司","謝O玲","臺中市東勢區中泰街8巷10號1樓","200000"," "," ","核准設立","20250901035816"
"00006964","眾星國際有限公司","王O友","臺中市西屯區林厝里安林路96之3號1樓","100000"," "," ","核准設立","20250901035816"
"00007128","新業有限公司","陳O興","臺中市南屯區溝墘里大業路249號","1000000"," "," ","核准設立","20250901035816"
"00007507","凱銜有限公司","黃O美","臺南市官田區二鎮里二鎮87之5號1樓","1000000"," "," ","核准設立","20250901035816"
"00008610","百璽國際有限公司","莊O湖","臺中市西區向上路一段36號6樓之3","100000"," "," ","核准設立","20250901035816"
"00010334","透明二奢有限公司","莊O均","臺中市南屯區惠中里公益路二段361號","2000000"," "," ","核准設立","20250901035816"
"00010340","宏龍科技有限公司","高O宏","高雄市新興區七賢一路301號4樓之6","310000"," "," ","核准設立","20250901035816"
"00010600","奧禹國際有限公司","周O蘭","桃園市龜山區大同里大同路391號(1樓)","500000"," "," ","核准設立","20250901035816"
"00010720","丞德物流行銷有限公司","吳O和","新北市土城區自由街15號(1樓)","5000000"," "," ","核准設立","20250901035816"
"00012282","香然有限公司","沈O蓁","屏東縣屏東市復興南路一段728號1樓","300000"," "," ","核准設立","20250901035816"
"00013178","揚律有限公司","柯O廷","高雄市鳳山區和德街31號13樓","200000"," "," ","核准設立","20250901035816"
"00013233","在地嚮導評論傳媒有限公司","吳O琪","臺南市東區後甲里裕農路779號1樓","200000"," "," ","核准設立","20250901035816"
"00014459","依麗安化粧品國際有限公司","朱O臻","桃園市桃園區長安里中正路575號(1樓)","1000000"," "," ","核准設立","20250901035816"
"00017049","金宸心有限公司","王O聆","高雄市岡山區柳橋西路86巷3號2樓","500000"," "," ","核准設立","20250901035816"
"00017126","鈞莉國際有限公司","彭O閔","新北市土城區中州路27巷79號6樓","300000"," "," ","核准設立","20250901035816"
"00017890","沐聿有限公司","朱O亮","臺北市大安區泰順街38巷12號2樓","100000"," "," ","核准設立","20250901035816"
"00022296","亞博國際有限公司","王O輝","臺南市後壁區福安里下寮144之13號1樓","500000"," "," ","核准設立","20250901035816"
"00022599","寰禾國際開發有限公司","施O禎","高雄市左營區文自路266號12樓之1","1000000"," "," ","核准設立","20250901035816"
"00025532","熱情奔放創意無限股份有限公司","張O德","臺北市大安區安和路2段21號7樓","1000000","1000000"," ","核准設立","20250901035816"
"00025667","宇緹生技有限公司","王O涵","高雄市三民區明誠一路593號8樓","1000000"," "," ","核准設立","20250901035816"
"00026639","欣禾運營企業有限公司","顏O如","臺南市中西區淺草里金華路3段230號3樓之1","100000"," "," ","核准設立","20250901035816"
"00027004","晨思創智企業有限公司","戴O德","臺中市西屯區精明路32之2號","1000000"," "," ","核准設立","20250901035816"
"00027237","邦捷貿易有限公司","蔡O揚","臺中市西屯區何南里大墩二十街118號5樓之1","600000"," "," ","核准設立","20250901035816"
"00027308","壹壹新零售股份有限公司","陳O如","臺北市大同區天水路46號2樓","1000000","1000000"," ","核准設立","20250901035816"
"00027503","森元創新股份有限公司","阮O芬","臺北市士林區中山北路6段701號3樓","10000000","100000"," ","核准設立","20250901035816"
"00028073","獻上文化有限公司","葉O仁","新北市新莊區中正路651之8號9樓","100000"," "," ","核准設立","20250901035816"
"00028427","民和健康事業股份有限公司","蕭O喬","嘉義縣太保市過溝里嘉太工業區興業路8號","12150000","12150000"," ","核准設立","20250901035816"
"00028799","日日野餐文化創意有限公司","韓O婕","臺北市信義區松德路69號1樓","3000000"," "," ","核准設立","20250901035816"
"00028926","九村國際有限公司","廖O綺","南投縣魚池鄉大林村金天巷45號","300000"," "," ","核准設立","20250901035816"
"00029066","露人甲戶外休閒用品有限公司","沈O芳","臺北市中山區敬業二路69巷61號","2000000"," "," ","核准設立","20250901035816"
"00030161","騰伶國際有限公司","李O玲","臺南市永康區尚頂里尚頂路20號","1000000"," "," ","核准設立","20250901035816"
